id,s_fs_lev,level_description,s_fs_name_v
11411,6.0,diploma,Diploma of Intepreting
11412,6.0,diploma,Wine Making
11413,3.0,certificate iii,Level 3 english
11414,3.0,certificate iii,I will be starting Individual Support Certificate 3. Currently enrolling for mid year intake
11415,5.0,vce or vcal,VCAL Senior with Cert. 2 in Printing and Graphics
11416,2.0,certificate ii,Certificate II Carpentry (this is definitely not through RMIT)
11417,3.0,certificate iii,Plumbing
11418,6.0,diploma,Diploma of building and construction ( building)
11419,4.0,certificate iv,"Top up units for the Certificate 4 in Child, youth and family Intervention."
11420,3.0,certificate iii,Electrical apprenticeship - cert 3 in electrotechnolodgy
11421,2.0,certificate ii,LIGHT VEHICLE MECHANICS
11422,4.0,certificate iv,Cert IV in hospitality
11423,2.0,certificate ii,AUR20216
11424,3.0,certificate iii,Cert III in carpentry at box hill institute
11425,8.0,bachelor,Architecture
11426,6.0,diploma,Diploma of beauty therapy
11427,3.0,certificate iii,Electrotechnology
11428,8.0,bachelor,Anthropolgy
11429,6.0,diploma,Diploma in childcare
11430,3.0,certificate iii,Cert III in Electrotechnology
11431,6.0,diploma,diploma of nursing
11432,7.0,advanced diploma,Advanced diploma of Myotherapy
11433,7.0,advanced diploma,Advanced Diploma of Travel and Tourism
11434,3.0,certificate iii,Cert 3 in building
11435,8.0,bachelor,Exercise and Sport Science
11436,5.0,vce or vcal,Fast track year 12 Vcal
11437,3.0,certificate iii,Landscaping
11438,8.0,bachelor,Bachelor of design (interior architecture honours)
11439,3.0,certificate iii,Cert 3 in Business
11440,3.0,certificate iii,Dental assistant
11441,10.0,,NEIS start for new business
11442,7.0,advanced diploma,Associate degree of education
11443,4.0,certificate iv,Cert IV in Business
11444,3.0,certificate iii,Cert iii animal studies specialising in animal care
11445,3.0,certificate iii,Certificate 3 in teachers aid
11446,3.0,certificate iii,still carpentry just with different organisation
11447,1.0,certificate i,CERTIFICATE I IN EAL (ACCESS)
11448,6.0,diploma,Diploma in nursing
11449,6.0,diploma,Diploma of Nursing
11450,8.0,bachelor,Bachelor of Business
11451,10.0,,advanced diploma of computer engineering
11452,6.0,diploma,Diploma of screen and media
11453,9.0,higher than a degree,As stated
11454,6.0,diploma,Certificate iv ECEC
11455,3.0,certificate iii,Hairdressing
11456,6.0,diploma,Diploma of community services
11457,3.0,certificate iii,Pest technician course
11458,4.0,certificate iv,Disability
11459,8.0,bachelor,Bachelor of nursing
11460,8.0,bachelor,Bachelor Of civil and infrastructure Engineering (honour)
11461,3.0,certificate iii,Cert 3 plumbing
11462,3.0,certificate iii,Cert 111 in Carpentry
11463,6.0,diploma,Diploma Conservation and Land Management
11464,3.0,certificate iii,Aged care
11465,4.0,certificate iv,Personal trainer
11466,6.0,diploma,Diploma of community services
11467,3.0,certificate iii,Community services
11468,6.0,diploma,Tool setting
11469,2.0,certificate ii,Certificate 3 in Heavy Vehicle
11470,3.0,certificate iii,Certificate lll in captive animals
11471,7.0,advanced diploma,Advanced Diploma of Screen and Media
11472,8.0,bachelor,Bachelor of Business
11473,7.0,advanced diploma,Building and construction advanced diploma
11474,6.0,diploma,Community Services
11475,6.0,diploma,Youth work
11476,4.0,certificate iv,Ageing support..
11477,3.0,certificate iii,Electrotechnogy studies certiii electrician
11478,4.0,certificate iv,Accounting and Bookkeeping
11479,3.0,certificate iii,civil construction
11480,9.0,higher than a degree,Master of Palliative Care in Aged Care
11481,4.0,certificate iv,Community services cert 4
11482,9.0,higher than a degree,Bachelor of Medical science & Doctorate of Medicine. Diploma of languages; Mandarin
11483,2.0,certificate ii,"Animal study, specific in animal care, I was doing vce as well"
11484,8.0,bachelor,Bachelor of Arts
11485,3.0,certificate iii,Cert III in Automotive
11486,3.0,certificate iii,Certificate III Mortgage Brokering
11487,6.0,diploma,Laboratory Operation
11488,8.0,bachelor,Bachelor of nursing
11489,8.0,bachelor,Bachelor of Biomedical science
11490,4.0,certificate iv,Building and construction
11491,8.0,bachelor,Bachelor of education primary
11492,8.0,bachelor,Bachelor of marketing
11493,8.0,bachelor,bachelor of business (Accountancy)
11494,3.0,certificate iii,Cert III in business studies and Diploma of Interior Design and Decoration
11495,4.0,certificate iv,Cert 4 in Business
11496,4.0,certificate iv,certificate IV youth work
11497,4.0,certificate iv,cert 4 in pathology collection
11498,4.0,certificate iv,cert 4 in legal services
11499,4.0,certificate iv,Disability
11500,9.0,higher than a degree,Graduate Certificate in Client Assessment and Case Management (Swinburne University - No to Violence)
11501,6.0,diploma,Diploma of Justice(Borderforce )
11502,2.0,certificate ii,Getting there
11503,10.0,,Pattern making
11504,8.0,bachelor,Bachelor of physiotherapy
11505,6.0,diploma,Diploma in Visual Art
11506,4.0,certificate iv,Pet nursing
11507,8.0,bachelor,Bachelor of Marketing
11508,4.0,certificate iv,Already completed licensing in gas and water.
11509,4.0,certificate iv,cert 4 trainer and assessor
11510,6.0,diploma,Diploma of Information Technology Networking
11511,3.0,certificate iii,Hospitality Certificate 3
11512,6.0,diploma,Childcare course
11513,3.0,certificate iii,Dental Assisting
11514,8.0,bachelor,"Bachelor of health science, medical classification"
11515,8.0,bachelor,Bachelor of Laws
11516,4.0,certificate iv,Individual support and disability
11517,3.0,certificate iii,Cert 3 Individual support
11518,3.0,certificate iii,cert.3
11519,3.0,certificate iii,Early childhood education and care
11520,6.0,diploma,Diploma of Nursing
11521,7.0,advanced diploma,Advanced diploma in cyber security
11522,8.0,bachelor,sports science
11523,6.0,diploma,Outdoor recreation
11524,4.0,certificate iv,Certificate 4 in Cyber Security
11525,2.0,certificate ii,Cert 2 in education
11526,3.0,certificate iii,Cert III Individual Support
11527,8.0,bachelor,Social Science
11528,1.0,certificate i,certificate i in plumbing
11529,3.0,certificate iii,Individual ageing care
11530,3.0,certificate iii,Certificate III in pet grooming
11531,4.0,certificate iv,Certificate iv in disability
11532,4.0,certificate iv,Building and construction
11533,6.0,diploma,Diploma in Building and Construction
11534,9.0,higher than a degree,Graduate Certificate in Hunan Resource Management
11535,2.0,certificate ii,Pre app carpentry
11536,4.0,certificate iv,Cert.IV Sterilisation services
11537,8.0,bachelor,Bachelor of Business
11538,8.0,bachelor,Bachel of creative industries (game art)
11539,4.0,certificate iv,Very 4 in carpentry
11540,4.0,certificate iv,Certificate IV Government
11541,2.0,certificate ii,Cert 2 in electric technology
11542,3.0,certificate iii,Cert 111 in Creative Industries at Youthworx
11543,2.0,certificate ii,Community service youth
11544,3.0,certificate iii,Certificate 3 in electrotechnology
11545,9.0,higher than a degree,Graduate Certificate in HRM
11546,8.0,bachelor,Nursing
11547,8.0,bachelor,Bachelors in Health Science and Bachelors in Science
11548,8.0,bachelor,Bachelor of Business
11549,3.0,certificate iii,Cert 3in Carpentry
11550,2.0,certificate ii,Community service
11551,6.0,diploma,Same
11552,10.0,,Confined space Barwon water contractor courses
11553,3.0,certificate iii,Health care service assistance
11554,6.0,diploma,Diploma in child care
11555,6.0,diploma,Diploma in building and construction
11556,6.0,diploma,Diploma of Event Management (Holmesglen TAFE)
11557,7.0,advanced diploma,Not saying
11558,3.0,certificate iii,Cert 3 instrumentation
11559,6.0,diploma,Diploma of Information Technology Networking
11560,8.0,bachelor,Bachelor of laws/Bachelor of global studies
11561,4.0,certificate iv,Certificate IV in Leisure and Health
11562,4.0,certificate iv,Cert IV in Logistics
11563,6.0,diploma,Dip .of community services
11564,4.0,certificate iv,Disability course
11565,8.0,bachelor,bachelor of marine biology
11566,8.0,bachelor,Associate Degree in communication design
11567,6.0,diploma,Diploma of community services
11568,6.0,diploma,Diploma of community services
11569,6.0,diploma,Diploma in Leisure & Health Yorke Institute Dandenong.
11570,6.0,diploma,Diploma of Building & Construction
11571,8.0,bachelor,Sport and Exercise Science
11572,3.0,certificate iii,Non emergency transport officer
11573,6.0,diploma,Diploma of Photography and Photo Imaging
11574,8.0,bachelor,Bachelor of Nursing.
11575,6.0,diploma,Marketing and communications
11576,8.0,bachelor,Bachelor of Speech Pathology
11577,3.0,certificate iii,Ag
11578,8.0,bachelor,Bachelor of Sports Buisness
11579,6.0,diploma,Diploma in early childhood education
11580,3.0,certificate iii,foreside training
11581,7.0,advanced diploma,Advanced Diploma of Accounting
11582,3.0,certificate iii,Certificate 111 in Patisserie
11583,4.0,certificate iv,Certificate IV in Community Services
11584,4.0,certificate iv,Very IV in Bookkeeping and Accounting
11585,6.0,diploma,Diploma in vocational education
11586,4.0,certificate iv,Certificate 4 in travel and tourism
11587,8.0,bachelor,"Bachelor of design, Melbourne University, majoring architecture"
11588,3.0,certificate iii,Certificate 3 in individual support
11589,1.0,certificate i,Metal work
11590,3.0,certificate iii,Certificate 3 in fitness
11591,3.0,certificate iii,Cert III in electrotechnology Electrician
11592,2.0,certificate ii,Animal grooming
11593,5.0,vce or vcal,Chisholm Sports Academy VCAL Intermediate (Year 11) Rising Stars Basketball program
11594,3.0,certificate iii,Ecec
11595,8.0,bachelor,Bachelor of Education Studies
11596,8.0,bachelor,Batchelor of business
11597,8.0,bachelor,Bachelor of Engineering (Honours) (Electrical and Electronic Engineering)
11598,8.0,bachelor,Bachelor of communication (advertising)
11599,4.0,certificate iv,Visual Art
11600,3.0,certificate iii,Pre apprentice in carpentry.
11601,4.0,certificate iv,Cert 4 WHS
11602,10.0,,Truck roll over
11603,3.0,certificate iii,lanscaping and construction cert 3
11604,6.0,diploma,Heath care assistant
11605,3.0,certificate iii,Automotive salesperson
11606,6.0,diploma,Same course last subjects
11607,8.0,bachelor,degree in nursing
11608,4.0,certificate iv,TAE40116 Certificate IV in Training and Assessment
11609,6.0,diploma,Diploma in early childhood and education
11610,3.0,certificate iii,Health and Wellbeing
11611,1.0,certificate i,Wool classing
11612,4.0,certificate iv,cert 4 in plumbing
11613,3.0,certificate iii,Cert lll in werehousing
11614,4.0,certificate iv,Disability
11615,7.0,advanced diploma,Advanced Diploma of Child Care and Education.
11616,8.0,bachelor,bachelor of heatlh science chinese medicine
11617,3.0,certificate iii,Certificate 3 in Community Services
11618,3.0,certificate iii,Cert 3 in warehousing
11619,7.0,advanced diploma,Advanced Diploma of Business (public relations)
11620,8.0,bachelor,bachelor of applied sciences construction management with honours
11621,8.0,bachelor,Bachelor of Health Science
11622,4.0,certificate iv,Certificate IV English
11623,4.0,certificate iv,Certificate Iv in Business Administration
11624,6.0,diploma,Diploma of Auslan.
11625,6.0,diploma,Graphic design
11626,8.0,bachelor,Bachelor in Business Major in Accounting
11627,3.0,certificate iii,Confined Space Training
11628,3.0,certificate iii,Certificate 3 in horticulture
11629,4.0,certificate iv,Cert IV Mental Health
11630,8.0,bachelor,Bachelor of Veterinary and Wildlife Science
11631,10.0,,"Swim Teacher, not sure of the exact name"
11632,5.0,vce or vcal,VCAL
11633,4.0,certificate iv,Certificate IV in education support
11634,1.0,certificate i,Learning and numeracy
11635,7.0,advanced diploma,Advanced Diploma Of Visual Arts
11636,3.0,certificate iii,Cabnit making
11637,6.0,diploma,Early Childhood Eduction and Care
11638,1.0,certificate i,Control traffic with stop slow bat Implement traffic management plan
11639,3.0,certificate iii,cert III in fitness
11640,6.0,diploma,Project Management
11641,3.0,certificate iii,Cert 3 Joinery (apprenticeship)
11642,8.0,bachelor,Bachelor of Communication (Media)
11643,3.0,certificate iii,Individual support
11644,8.0,bachelor,Bachelor of Design (Architecture)
11645,6.0,diploma,Dilploma of screen and media specialist makeup
11646,4.0,certificate iv,Cert 4 fitness
11647,3.0,certificate iii,Parks and gardens
11648,8.0,bachelor,Bachelor of Arts
11649,6.0,diploma,Diploma of jewellery
11650,3.0,certificate iii,Cert 3 in building infrastructure
11651,8.0,bachelor,Bachelor of science (food technology and nutrition)
11652,3.0,certificate iii,Plumbing
11653,3.0,certificate iii,Cert III in Engineering Mechanical Trade
11654,2.0,certificate ii,"CERTIFICATE II IN INFORMATION, DIGITAL MEDIA AND TECHNOLOGY"
11655,6.0,diploma,TAE TEACHER UPGRADE COURSE
11656,10.0,,Short course Tools of the trade
11657,8.0,bachelor,Bachelor of social work(hons)
11658,6.0,diploma,Diploma of Live Production and Technical Services
11659,10.0,,No specific courses at this stage. Continuing and developing art practice following the cert iv in visual art.
11660,8.0,bachelor,Bachelor of Nursing
11661,6.0,diploma,Hair salon manager
11662,6.0,diploma,Diploma in Early childhood education
11663,3.0,certificate iii,Cabinet making/furniture making
11664,6.0,diploma,diploma of nursing
11665,8.0,bachelor,Bachelor of Design (Digital Media)
11666,3.0,certificate iii,Business medical administration
11667,7.0,advanced diploma,Higher diploma of accounting
11668,4.0,certificate iv,Fabrication
11669,8.0,bachelor,Bachelor of paramedical science
11670,4.0,certificate iv,Advance plumbibg course
11671,10.0,,Level 3 but more concentrated in grammar and writing
11672,4.0,certificate iv,Bookkeeping and accounting
11673,7.0,advanced diploma,Advanced diploma of accounting
11674,4.0,certificate iv,Certificate 4 in Accounting and Bookkeeping
11675,4.0,certificate iv,Cert 4 in pet styling
11676,8.0,bachelor,Bachelor of Creative Arts - Visual Arts
11677,4.0,certificate iv,Certificate 4 in disability
11678,2.0,certificate ii,cert 2 in security operations
11679,3.0,certificate iii,Aged care course
11680,8.0,bachelor,Bachelor of Arts
11681,3.0,certificate iii,Carpentry
11682,4.0,certificate iv,Certificate IV in Education Support
11683,8.0,bachelor,Bachelor of Design (Games)
11684,6.0,diploma,Diploma in Community Services
11685,4.0,certificate iv,Certificate IV in Science
11686,4.0,certificate iv,Book keep
11687,3.0,certificate iii,Cetificate 3 in Carpentry
11688,4.0,certificate iv,Certificate lv EAL Course
11689,4.0,certificate iv,Building contraction
11690,6.0,diploma,Diploma of visual arts
11691,4.0,certificate iv,Community service
11692,8.0,bachelor,Accounting
11693,2.0,certificate ii,General Education firstep certificate 2
11694,8.0,bachelor,Bachelor of Arts/Masters of Teaching
11695,3.0,certificate iii,Cer 3 of age care
11696,7.0,advanced diploma,Advanced diploma of accounting
11697,7.0,advanced diploma,Advanced diploma of visual art
11698,6.0,diploma,Digital and Interactive Games
11699,7.0,advanced diploma,Advanced Diploma of Professional Game Development
11700,4.0,certificate iv,Certificate IV in Building
11701,1.0,certificate i,Cooking
11702,6.0,diploma,Diploma in building and construction
11703,4.0,certificate iv,Cert 3 &4 in agriculture (dairy)
11704,4.0,certificate iv,Screen and media
11705,6.0,diploma,"WHS Diploma, finished it."
11706,7.0,advanced diploma,Advanced Diploma of Myotherapy
11707,5.0,vce or vcal,VCE
11708,4.0,certificate iv,Cert IV TESOL
11709,3.0,certificate iii,Horticulture Certificate 3
11710,6.0,diploma,Diploma in Turf management
11711,6.0,diploma,Professional writing and editing
11712,6.0,diploma,Professional Writing and Editing
11713,8.0,bachelor,Bachelor of early learning
11714,8.0,bachelor,Bachelor of Arts (undergraduate)
11715,8.0,bachelor,Associate degree in engineering technology
11716,6.0,diploma,Diploma of Nursing
11717,7.0,advanced diploma,Advance diploma  accounting
11718,10.0,,Agents Representative Program
11719,3.0,certificate iii,It s the same one. I only had to withdraw last year and re enroll this year because of the lack of leniency
11720,6.0,diploma,Diploma of Horticulture
11721,3.0,certificate iii,Brick and block laying
11722,2.0,certificate ii,Certificate 2 in General Education for Adults
11723,8.0,bachelor,Bachelor of Criminology & Criminal Justice
11724,1.0,certificate i,Cert I in Higher Education
11725,3.0,certificate iii,Carpentry
11726,3.0,certificate iii,automotive servicing technology
11727,6.0,diploma,Disploma Of Music Industry (Performance)
11728,1.0,certificate i,Kevin
11729,6.0,diploma,Diploma of Photography and Photo Imaging
11730,4.0,certificate iv,Certificate IV of Cybersecurity
11731,3.0,certificate iii,Certificate III in Education Support
11732,4.0,certificate iv,same Certivate IV in Disability and Education Support
11733,3.0,certificate iii,IT III
11734,6.0,diploma,Diploma of screen and Media
11735,4.0,certificate iv,Certificate iv in laboratory techniques
11736,4.0,certificate iv,Certificate IV in Conservation and Land Management
11737,4.0,certificate iv,Cabinet making
11738,4.0,certificate iv,Certificate IV in Cyber Security
11739,8.0,bachelor,Bachelor of education (primary)
11740,8.0,bachelor,Bachelor of Zoology
11741,1.0,certificate i,Adult education
11742,6.0,diploma,building and construction 5
11743,5.0,vce or vcal,VCE
11744,8.0,bachelor,BNS
11745,4.0,certificate iv,Cybersecurity
11746,4.0,certificate iv,Accounting and bookkeeping
11747,3.0,certificate iii,Investigation services
11748,4.0,certificate iv,Certificate iv in pt
11749,6.0,diploma,Mental health
11750,8.0,bachelor,Agriculture
11751,8.0,bachelor,Biomedical Science
11752,4.0,certificate iv,Certificate 4 of digital and interactive games
11753,9.0,higher than a degree,Bachelor of law
11754,8.0,bachelor,Bachelor of Dermal Sciences
11755,3.0,certificate iii,Cert 3 indovidual support
11756,8.0,bachelor,Bachelor of science
11757,4.0,certificate iv,Certificate IV disability
11758,6.0,diploma,Diploma in Accounting
11759,4.0,certificate iv,Certificate IV in Industrial Automation & Control
11760,6.0,diploma,Diploma of interior design and decoration
11761,7.0,advanced diploma,Advanced diploma of screen and media (interactive)
11762,3.0,certificate iii,beauty services or makeup
11763,3.0,certificate iii,Certificate III Engineering Fabrication
11764,10.0,,Multiple courses
11765,7.0,advanced diploma,Adv dip computer systems technology
11766,4.0,certificate iv,accounting
11767,8.0,bachelor,Bachelor of Business Information Systems
11768,4.0,certificate iv,Education Support
11769,2.0,certificate ii,Cert 2 in salon assistant
11770,3.0,certificate iii,CErt 3 in Electrotechnology
11771,4.0,certificate iv,Certificate IV in agriculture
11772,8.0,bachelor,Bachelor of Business (Management)
11773,6.0,diploma,Diploma of business management
11774,5.0,vce or vcal,integration aid/education support
11775,6.0,diploma,Diploma of Graphic Design
11776,4.0,certificate iv,family violence
11777,8.0,bachelor,Bachelor of Public Health and Health Promotion
11778,6.0,diploma,Programming
11779,8.0,bachelor,Bachelor of Architecture
11780,3.0,certificate iii,Cert 3 in electrotechnology
11781,4.0,certificate iv,Certificate 4 in disability
11782,3.0,certificate iii,Certificate III in Early Childhood
11783,3.0,certificate iii,certificate iii in carpentry and construction
11784,9.0,higher than a degree,Bachelors of sports science and psychological studies
11785,3.0,certificate iii,electrical fitting
11786,3.0,certificate iii,Production in Horticultural
11787,9.0,higher than a degree,Bachelor of Nursing
11788,4.0,certificate iv,Youth and family intervention
11789,3.0,certificate iii,Individual support
11790,8.0,bachelor,Bachelor of Paramedic Practice
11791,6.0,diploma,Diploma of Screen and Media
11792,8.0,bachelor,Bachelors of fashion
11793,3.0,certificate iii,Certificate III In Early childhood education and care
11794,8.0,bachelor,Bachelor of Counselling
11795,6.0,diploma,Diploma of early childhood education and care
11796,6.0,diploma,diploma of graphic design
11797,8.0,bachelor,Batchelor with honours of Film and TV
11798,3.0,certificate iii,Certificate III in Security Operations
11799,3.0,certificate iii,Certificate 3 in hairdressing
11800,7.0,advanced diploma,Advanced Diploma of Accountting
11801,4.0,certificate iv,Cert IV in Disability
11802,4.0,certificate iv,Certificate 4 in Fitness
11803,4.0,certificate iv,Allied heath services
11804,3.0,certificate iii,Engineering fabrication trade
11805,8.0,bachelor,B arts
11806,3.0,certificate iii,Same course
11807,3.0,certificate iii,Retail
11808,4.0,certificate iv,Cert IV In Education Support
11809,4.0,certificate iv,Certificate lV in Education Support.
11810,3.0,certificate iii,Certificate 3 in food-processing
11811,2.0,certificate ii,Certificate 2 in plumbing
11812,2.0,certificate ii,automotive
11813,6.0,diploma,Diploma of networking
11814,6.0,diploma,Diploma of community services
11815,8.0,bachelor,Associate Degree in Arts
11816,9.0,higher than a degree,PhD
11817,8.0,bachelor,Bachelor of construction management
11818,8.0,bachelor,Associates Degree in Graphic Design
11819,3.0,certificate iii,Certificate III in Retail
11820,8.0,bachelor,Bachelor of nursing
11821,3.0,certificate iii,Certificate 3 in early childhood education and care
11822,4.0,certificate iv,Plumbing
11823,10.0,,Haven't had that information provided to me.
11824,4.0,certificate iv,D
11825,6.0,diploma,Diploma of Nursing
11826,6.0,diploma,Diploma of Food Science and technology
11827,5.0,vce or vcal,I am an apprentice Carpenter - I did School Based Apprenticeship Training at Marymede Catholic College and Parade College and actually received an award for this study through Hume Whittlesea LLEN - Vocational Education Awards SBAT achievement - I am current working with PAK carpentry and am enjoying this
11828,7.0,advanced diploma,Bachelor of nursing but i had to defer
11829,3.0,certificate iii,HLT33115 certificate 3 in health Services Assistance
11830,6.0,diploma,Diploma of Human Resources Management
11831,3.0,certificate iii,Cert 111 in child care
11832,4.0,certificate iv,leaisure and health
11833,6.0,diploma,Diploma of child care
11834,6.0,diploma,Diploma building construction and Waterproofing certificate.
11835,6.0,diploma,Dual diploma in early childhood education and care and diploma in school age care.
11836,8.0,bachelor,Bachelor of Commerce (Accounting)
11837,4.0,certificate iv,Finace
11838,6.0,diploma,The early childhood educator for diploma
11839,2.0,certificate ii,EAL Certificatec2
11840,4.0,certificate iv,Certificate iv education support
11841,4.0,certificate iv,Cost and estimate
11842,3.0,certificate iii,"Certificate III in Individual Support (Ageing, Home and Community)"
11843,3.0,certificate iii,Certificate III in EALAccess.
11844,1.0,certificate i,Doing the same course
11845,6.0,diploma,Diploma in Early Childhood Education and Care
11846,6.0,diploma,Diploma in Photography & Photo Imaging
11847,1.0,certificate i,Cert I into the workforce
11848,8.0,bachelor,Health science
11849,4.0,certificate iv,Certificate IV in Community Services
11850,6.0,diploma,Diploma of child care education and care
11851,3.0,certificate iii,Customer engagement
11852,6.0,diploma,Diploma of building and construction
11853,9.0,higher than a degree,Bachelor of interior architecture (honours)
11854,9.0,higher than a degree,Bachelor of Criminal Justice
11855,8.0,bachelor,Bachelor of Business
11856,8.0,bachelor,Bachelor of ICT
11857,3.0,certificate iii,Auslan cert III Melbourne Polytechnic
11858,8.0,bachelor,bachelor of communications
11859,3.0,certificate iii,Certificate III in Electrotechnology
11860,6.0,diploma,IT Networking
11861,6.0,diploma,Building diploma
11862,8.0,bachelor,Bachelor of health science mental health
11863,8.0,bachelor,Bachelor of Health Sciences/ Bachelor of Business
11864,3.0,certificate iii,Certificate III in Electrotechnology
11865,10.0,,Admin
11866,3.0,certificate iii,Cert three in hairdressing
11867,4.0,certificate iv,Certificate 4 further English speaking Course
11868,8.0,bachelor,Bachelor of podiatry
11869,8.0,bachelor,Bachelor of Nursing
11870,8.0,bachelor,Bachelor of Biomedical Science
11871,5.0,vce or vcal,VCAL
11872,4.0,certificate iv,Community service.
11873,8.0,bachelor,Bachelor's in health and nutrition
11874,2.0,certificate ii,Certificate 2 in food processing
11875,8.0,bachelor,Bachelor in nursing
11876,7.0,advanced diploma,Advanced Diploma of Visual Arts
11877,8.0,bachelor,Bachelor Of Arts Criminal Justice
11878,4.0,certificate iv,Certificate IV training and assessment
11879,6.0,diploma,Diploma in animal technology
11880,4.0,certificate iv,Certificate 4 in Governance
11881,6.0,diploma,Diploma of Auslan
11882,4.0,certificate iv,Certificate 4 in education support
11883,8.0,bachelor,Bachelor of commerce
11884,4.0,certificate iv,Allied Health Assistance
11885,3.0,certificate iii,Independent and aged care
11886,6.0,diploma,Whs
11887,4.0,certificate iv,IV in disability
11888,3.0,certificate iii,Wall and floor tileing
11889,6.0,diploma,Diploma of beauty therapy
11890,8.0,bachelor,Bachelor of education p-10
11891,8.0,bachelor,Bachelor of Education
11892,8.0,bachelor,Bachelor of Community Services
11893,8.0,bachelor,Bachelor Nursing and paramedicine
11894,4.0,certificate iv,Iv in written and spoken English
11895,3.0,certificate iii,Certificate III in Individual Support (aged care)
11896,6.0,diploma,Diploma of health science
11897,7.0,advanced diploma,Advanced Diploma of Screen and Media
11898,6.0,diploma,Early Childhood Education and Care
11899,6.0,diploma,Diploma of Early Childhood Education and care
11900,4.0,certificate iv,Cert iv patisserie
11901,1.0,certificate i,Certificate 4  Youth work
11902,3.0,certificate iii,Cert 3 hairdressing
11903,6.0,diploma,Diploma of child care
11904,8.0,bachelor,Bachelor of nursing
11905,6.0,diploma,Diploma of Interior Design
11906,7.0,advanced diploma,Advanced Diploma in Civil and Structural Engineering
11907,6.0,diploma,MSF50218 Diploma of Interior Design
11908,7.0,advanced diploma,Advance diploma of jewellery and object design
11909,2.0,certificate ii,Melbourne Polytechnic level 2
11910,4.0,certificate iv,Certificate 4 in Mental Health
11911,4.0,certificate iv,Cert 4 in commercial cookery
11912,1.0,certificate i,cert I in  work education
11913,3.0,certificate iii,Cert 3 dental assisting
11914,4.0,certificate iv,"certificate IV, disability support worker"
11915,7.0,advanced diploma,Advanced diploma of agriculture
11916,4.0,certificate iv,sadly I was only able to do one week and have defered till next year
11917,3.0,certificate iii,certificate 3 in security operations
11918,8.0,bachelor,Bachelor of Nursing.
11919,8.0,bachelor,Bachelor of physical education and sport science
11920,4.0,certificate iv,Certificate IV in disability
11921,8.0,bachelor,"At this current time, I returned to the previous course from which I deferred in 2017, Bachelor of Physical Activity and Health Science at ACU, but I am looking to transfer into a teaching degree at ACU, in semester 2."
11922,7.0,advanced diploma,advanced diploma of electrical engineering
11923,3.0,certificate iii,Cert III in light vehicle technology
11924,4.0,certificate iv,Certificate 4 in health services assistant
11925,7.0,advanced diploma,Advanced diploma in sound production
11926,6.0,diploma,Diploma of early childhood
11927,8.0,bachelor,Bachelor of Education (early childhood and primary)
11928,4.0,certificate iv,Certificate 4 Patisserie
11929,3.0,certificate iii,Tourism
11930,8.0,bachelor,Bachelor of Nursing
11931,3.0,certificate iii,commercial cookingh
11932,9.0,higher than a degree,Bachelor of Psychological Studies
11933,6.0,diploma,HR Leadership
11934,6.0,diploma,Diploma of school age
11935,3.0,certificate iii,Certificate 3 in agriculture
11936,8.0,bachelor,Registered nurse
11937,3.0,certificate iii,"Cert III in Information, Digital Media and technology"
11938,6.0,diploma,Diploma of Marketing and Communications
11939,6.0,diploma,Diploma in childcare.
11940,8.0,bachelor,Bachelor's of nursing
11941,8.0,bachelor,Bachelor of nursing
11942,6.0,diploma,Diploma in Early Childhood Education and Care
11943,7.0,advanced diploma,Advanced Diploma of Myotherapy
11944,4.0,certificate iv,Youth work
11945,3.0,certificate iii,Certificate 3 in dental assisting
11946,3.0,certificate iii,hospitality cert 111
11947,8.0,bachelor,Bachelor of nursing
11948,7.0,advanced diploma,Advanced Diploma of Screen & Media - Film and Television
11949,6.0,diploma,Diploma of nursing
11950,2.0,certificate ii,Certificate II in Applied Fashion Design & Technology
11951,6.0,diploma,Diploma in Building and construction
11952,4.0,certificate iv,Cert 4 community servicea
11953,7.0,advanced diploma,Music industry
11954,7.0,advanced diploma,Advanced Diploma of Justice
11955,3.0,certificate iii,Cert III patisserie
11956,7.0,advanced diploma,Advance diploma of international business
11957,6.0,diploma,Diploma in Early Childhood Education And Care.
11958,6.0,diploma,DIPLOMA OF COMMUNITY SERVICES
11959,8.0,bachelor,Degree in Psychology
11960,2.0,certificate ii,Plumber
11961,8.0,bachelor,Bachelor Degree (Hons) in Primary and Secondary Health and Physical Education
11962,8.0,bachelor,Bachelor of Health Science
11963,3.0,certificate iii,cert 3 electrotechnology
11964,3.0,certificate iii,Certificate 3 in light vehicle maintenance
11965,1.0,certificate i,parts interpretation
11966,6.0,diploma,diploma in accounting
11967,7.0,advanced diploma,Adv Diploma of Accounting
11968,3.0,certificate iii,Cert 3 in electrotechnology
11969,8.0,bachelor,Bachelor of Education Studies
11970,4.0,certificate iv,Mental health
11971,3.0,certificate iii,Certificate III in warehousing
11972,6.0,diploma,Diploma Of Software Development / Certificate IV In Information Technology ICT50715 / ICT40115
11973,7.0,advanced diploma,Advanced Diploma of Myotherapy
11974,4.0,certificate iv,Certificate IV in Accounting and Brookleeping
11975,8.0,bachelor,Bachelor of nursing
11976,8.0,bachelor,Mechanical engineering
11977,4.0,certificate iv,cert iv mental health
11978,3.0,certificate iii,Don t know
11979,5.0,vce or vcal,"Senior VCAL Fast Track at Chisholm Berwick TEC FEB 2019, and CERT II Electrotechnology Sept-Nov 2018"
11980,8.0,bachelor,Bachelor of Nursing
